,id,type,special_status,notes
345,Pocillopora_meandrina_HIv1___RNAseq.g14438.t1,gene,NA,NA
346,Pocillopora_meandrina_HIv1___RNAseq.g19428.t1,gene,NA,NA
347,Pocillopora_meandrina_HIv1___RNAseq.g14394.t1,gene,NA,NA
348,Pocillopora_meandrina_HIv1___TS.g20181.t1,gene,NA,NA
349,Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b,gene,NA,NA
350,Pocillopora_meandrina_HIv1___RNAseq.g12751.t1,gene,NA,NA
351,Pocillopora_meandrina_HIv1___RNAseq.g22695.t1,gene,NA,NA
352,Pocillopora_meandrina_HIv1___RNAseq.g22032.t2,gene,NA,NA
353,Pocillopora_meandrina_HIv1___RNAseq.g21904.t1,gene,NA,NA
354,Pocillopora_meandrina_HIv1___RNAseq.g5.t1,gene,NA,NA
355,Pocillopora_meandrina_HIv1___RNAseq.g9830.t1,gene,NA,NA
356,Pocillopora_meandrina_HIv1___RNAseq.g28356.t1,gene,NA,NA
357,Pocillopora_meandrina_HIv1___RNAseq.g4310.t1,gene,NA,NA
358,Pocillopora_meandrina_HIv1___TS.g12426.t1,gene,NA,NA
359,Pocillopora_meandrina_HIv1___RNAseq.g17631.t2,gene,NA,NA
360,Pocillopora_meandrina_HIv1___RNAseq.g18289.t1,gene,NA,NA
361,Pocillopora_meandrina_HIv1___TS.g25423.t1,gene,NA,NA
362,Pocillopora_meandrina_HIv1___RNAseq.g26224.t1,gene,NA,NA
363,Pocillopora_meandrina_HIv1___RNAseq.g808.t1,gene,NA,NA
364,Pocillopora_meandrina_HIv1___RNAseq.g10673.t1,gene,NA,NA
365,Pocillopora_meandrina_HIv1___RNAseq.g4165.t1,gene,NA,NA
366,Pocillopora_meandrina_HIv1___RNAseq.g22070.t1,gene,NA,NA
367,Pocillopora_meandrina_HIv1___RNAseq.g4778.t1,gene,NA,NA
368,Pocillopora_meandrina_HIv1___RNAseq.g6162.t1a,gene,NA,NA
369,Pocillopora_meandrina_HIv1___RNAseq.g14719.t1c,gene,NA,NA
370,Pocillopora_meandrina_HIv1___RNAseq.g13574.t1,gene,NA,NA
371,Pocillopora_meandrina_HIv1___RNAseq.g2495.t1,gene,NA,NA
372,Pocillopora_meandrina_HIv1___RNAseq.g21284.t1,gene,NA,NA
373,Pocillopora_meandrina_HIv1___RNAseq.g25934.t1,gene,NA,NA
374,Pocillopora_meandrina_HIv1___TS.g9824.t1,gene,NA,NA
375,Pocillopora_meandrina_HIv1___RNAseq.g8619.t1,gene,NA,NA
376,Pocillopora_meandrina_HIv1___RNAseq.g19866.t1,gene,NA,NA
377,Pocillopora_meandrina_HIv1___TS.g23557.t1,gene,NA,NA
378,Pocillopora_meandrina_HIv1___TS.g26182.t1,gene,NA,NA
379,Pocillopora_meandrina_HIv1___RNAseq.g26785.t1,gene,NA,NA
380,Pocillopora_meandrina_HIv1___RNAseq.g5374.t1,gene,NA,NA
381,Pocillopora_meandrina_HIv1___RNAseq.g20311.t2,gene,NA,NA
382,Pocillopora_meandrina_HIv1___RNAseq.g7708.t1,gene,NA,NA
383,Pocillopora_meandrina_HIv1___RNAseq.g17683.t1,gene,NA,NA
384,Pocillopora_meandrina_HIv1___RNAseq.g24443.t1,gene,NA,NA
385,Pocillopora_meandrina_HIv1___RNAseq.g14189.t1,gene,NA,NA
386,Pocillopora_meandrina_HIv1___TS.g20446.t1,gene,NA,NA
387,Pocillopora_meandrina_HIv1___RNAseq.g23519.t1a,gene,NA,NA
388,Pocillopora_meandrina_HIv1___RNAseq.g25683.t1,gene,NA,NA
389,Pocillopora_meandrina_HIv1___TS.g416.t1,gene,NA,NA
390,Pocillopora_meandrina_HIv1___RNAseq.g22365.t1,gene,NA,NA
391,Pocillopora_meandrina_HIv1___RNAseq.g21104.t1,gene,NA,NA
392,Pocillopora_meandrina_HIv1___RNAseq.g22634.t1,gene,NA,NA
393,Pocillopora_meandrina_HIv1___RNAseq.g21142.t1,gene,NA,NA
394,Pocillopora_meandrina_HIv1___TS.g28963.t1,gene,NA,NA
395,Pocillopora_meandrina_HIv1___RNAseq.3177_t,gene,NA,NA
396,Pocillopora_meandrina_HIv1___TS.g29288.t1,gene,NA,NA
397,Pocillopora_meandrina_HIv1___RNAseq.g19972.t1,gene,NA,NA
