transcript_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
Peve_00012912,1465,446,4547,1783,448
Peve_00031215,52,0,0,15,70
Peve_00031214,41,7,0,13,50
Peve_00012919,31,0,179,0,31
Peve_00012918,93,0,146,46,50
Peve_00031213,11,12,0,25,47
Peve_00031212,785,235,389,404,1081
Peve_00027533,30,0,106,7,6
Peve_00027532,19,16,137,24,0
Peve_00027531,10,9,65,21,61
Peve_00027530,129,23,563,148,85
Peve_00027537,0,0,0,5,0
Peve_00027536,667,190,1100,1263,887
Peve_00027535,3837,2057,2712,1474,4664
Peve_00027534,123,77,252,415,149
Peve_00022729,60,24,57,13,67
Peve_00022728,32,9,404,25,107
Peve_00027539,35,0,51,0,38
Peve_00027538,99,81,408,158,168
Peve_00021269,9,3,0,3,7
Peve_00021268,4,27,55,4,24
Peve_00021261,745,183,446,232,551
Peve_00021260,1404,222,310,345,1445
Peve_00021263,94,28,0,104,12
Peve_00021262,33,0,0,0,0
Peve_00021265,38,15,119,0,27
Peve_00021264,2544,564,1301,964,1869
Peve_00021267,0,0,0,0,0
Peve_00021266,0,0,0,0,0
Peve_00025979,878,619,199,139,2333
Peve_00025978,0,0,0,0,0
Peve_00025971,28,11,65,22,46
Peve_00025970,0,6,0,0,0
Peve_00025973,473,168,1010,135,591
Peve_00025972,18,11,420,81,67
Peve_00025975,0,0,0,0,0
Peve_00025977,403,190,1501,218,447
Peve_00025976,1364,301,552,165,1543
Peve_00017988,0,0,0,0,0
Peve_00017985,0,0,0,0,0
Peve_00017984,7,4,0,0,1
Peve_00017987,0,0,0,0,0
Peve_00017986,0,0,0,3,0
Peve_00017980,0,0,0,0,0
Peve_00017983,0,0,0,0,0
Peve_00017982,0,0,0,0,0
Peve_00037916,621,298,1463,551,757
Peve_00037917,131,30,64,53,553
Peve_00037910,0,0,0,0,18
Peve_00037911,210,30,219,77,337
Peve_00037912,0,0,0,0,0
Peve_00037913,7,0,0,0,0
Peve_00037918,149,36,53,34,459
Peve_00037919,22,0,0,0,0
Peve_00022220,0,4,0,0,4
Peve_00025399,3678,1731,5425,1978,3447
Peve_00016169,8,0,0,0,0
Peve_00016164,53,4,12,0,13
Peve_00025394,1900,571,1572,730,1919
Peve_00016166,9,0,0,0,23
Peve_00016167,4,0,0,0,4
Peve_00025391,0,0,0,0,0
Peve_00016161,0,0,0,0,0
Peve_00016162,211,79,509,105,231
Peve_00025392,0,0,0,0,0
Peve_00018979,22,6,14,6,32
Peve_00014988,20,46,682,148,57
Peve_00014989,55,0,0,0,48
Peve_00014984,4951,6382,2834,1644,6131
Peve_00014985,29,48,84,0,65
Peve_00014986,2277,1915,4315,1812,2829
Peve_00014987,1277,368,3911,2050,1909
Peve_00014980,0,0,3,17,7
Peve_00014981,10,2,3,11,1
Peve_00014982,17,0,0,0,0
Peve_00014983,0,0,0,0,0
Peve_00024378,0,0,0,0,0
Peve_00011753,0,0,0,0,0
Peve_00011750,9,0,0,7,4
Peve_00011751,0,0,0,0,0
Peve_00011756,54,0,0,0,0
Peve_00011757,0,0,0,0,0
Peve_00011754,0,0,0,0,14
Peve_00011755,122,0,0,0,15
Peve_00024370,65,58,590,114,126
Peve_00024371,0,0,0,0,0
Peve_00024372,33,3,200,7,53
Peve_00011759,321,0,1226,202,161
Peve_00024374,43,202,220,143,35
Peve_00024375,46,11,0,13,93
Peve_00024376,0,0,0,0,0
Peve_00024377,4,0,0,0,21
Peve_00013668,374,167,976,498,652
Peve_00013669,6,0,207,8,8
Peve_00016298,0,0,0,0,0
Peve_00016299,35,0,0,9,116
Peve_00013660,256,235,145,119,470
Peve_00013661,637,384,343,207,670
Peve_00013662,512,362,332,465,445
Peve_00013663,113,53,216,97,717
Peve_00013664,6,0,0,7,10
Peve_00013665,6,4,0,8,11
Peve_00013666,7,5,6,23,4
Peve_00013667,26,0,0,18,18
Peve_00026286,3,0,0,0,0
Peve_00026287,0,0,0,0,1
Peve_00026284,0,58,0,958,0
Peve_00026285,0,0,0,0,0
Peve_00026283,61,27,25,4,159
Peve_00026280,0,0,0,0,0
Peve_00026281,0,0,0,0,0
Peve_00026288,0,0,0,0,0
Peve_00026289,22,0,1526,79,4
Peve_00020613,7,29,115,8,26
Peve_00020612,9,7,0,23,21
Peve_00020611,32,36,317,36,69
Peve_00020610,787,350,1655,441,1151
Peve_00020617,1190,128,1138,736,503
Peve_00020616,248,154,331,217,395
Peve_00020615,9,15,0,10,36
Peve_00020614,0,8,215,25,24
Peve_00020619,98,0,99,46,75
Peve_00020618,201,53,159,109,277
Peve_00004916,249,246,1095,92,239
Peve_00004917,360,124,545,207,491
Peve_00004914,68,2,51,4,47
Peve_00004915,6304,1207,4259,1768,6381
Peve_00004912,10329,1641,12578,6524,15570
Peve_00004913,95,18,281,60,214
Peve_00004910,139,31,256,127,269
Peve_00004918,54,89,359,105,172
Peve_00004919,2,0,0,0,7
Peve_00027888,22,12,104,8,33
Peve_00027883,0,0,0,0,0
Peve_00009353,0,10,0,0,78
Peve_00027881,51,42,217,17,14
Peve_00027880,0,0,0,0,0
Peve_00027887,0,0,0,0,0
Peve_00027886,0,0,0,0,0
Peve_00027885,19,6,22,0,5
Peve_00027884,0,0,0,0,0
Peve_00009351,0,0,0,0,6
Peve_00010405,2295,1333,902,910,3400
Peve_00010404,314,168,428,269,378
Peve_00005061,0,5,9,0,3
Peve_00009350,82,11,216,23,31
Peve_00010401,11,18,36,7,5
Peve_00010400,157,0,246,119,27
Peve_00010403,0,0,0,0,0
Peve_00010402,589,311,2068,406,865
Peve_00002459,58,30,79,34,0
Peve_00002458,0,0,0,0,0
Peve_00012139,2231,1037,3611,1566,2873
