#Position (bp)	Coverage
3.055005255E8	52.47979924584418
3.062940285E8	6.821223875233132
3.067647535E8	65.78333795210447
3.073834255E8	68.1960975091614
3.083248755E8	74.89047214403314
3.092663255E8	68.24691274098465
3.102077755E8	54.543466992405335
3.111492255E8	46.414117584576985
3.116838385E8	26.60509798397195
3.121545635E8	19.847313543261798
3.130321255E8	15.02965956768814
3.139735755E8	63.93323915237134
3.149150255E8	62.38371979393489
3.158564755E8	70.78887673269956
3.16467897E8	64.92517226796687
3.16938622E8	52.9599170980688
3.177393755E8	60.10433480269796
3.186808255E8	60.05287482075522
3.196222755E8	54.94703914174943
3.205637255E8	62.65033299697276
3.212433895E8	54.56346349891595
3.217141145E8	68.22087506589352
3.224466255E8	59.30318976047586
3.233880755E8	42.474108024855276
3.243295255E8	61.34586435817091
3.252709755E8	49.650515693876464
3.259428095E8	42.38158162986241
3.264135345E8	63.563714690522815
3.271538755E8	62.26941951245419
3.280953255E8	55.41567794359764
3.290367755E8	67.85713951882734
3.296336095E8	60.63218327002831
3.301043345E8	56.44803056155257
3.309196755E8	32.33396781560359
3.318611255E8	15.133166923362898
