CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
92	176151	7944448	2.17	8120599
93	168459	7816836	2.11	7985295
94	176035	7709748	2.23	7885783
95	169496	7591649	2.18	7761145
96	161379	7464564	2.12	7625943
97	162564	7329813	2.17	7492377
98	166970	7216336	2.26	7383306
99	161959	7080781	2.24	7242740
100	158325	6953991	2.23	7112316
101	165611	6832925	2.37	6998536
102	156926	6712167	2.28	6869093
103	160572	6607147	2.37	6767719
104	162550	6494361	2.44	6656911
105	149981	6385051	2.30	6535032
106	152469	6265020	2.38	6417489
107	158329	6144263	2.51	6302592
108	145816	6017604	2.37	6163420
109	152979	5902011	2.53	6054990
110	150024	5790525	2.53	5940549
111	146483	5678181	2.51	5824664
112	146833	5574432	2.57	5721265
113	145759	5482369	2.59	5628128
114	142797	5372131	2.59	5514928
115	139159	5271464	2.57	5410623
116	144288	5173440	2.71	5317728
117	135287	5051338	2.61	5186625
118	136887	4956596	2.69	5093483
119	141542	4856473	2.83	4998015
120	129910	4754871	2.66	4884781
121	134442	4662052	2.80	4796494
122	132637	4579420	2.81	4712057
123	128160	4495878	2.77	4624038
124	130272	4399286	2.88	4529558
125	127926	4307107	2.88	4435033
126	122356	4212514	2.82	4334870
127	125238	4123907	2.95	4249145
128	124198	4039824	2.98	4164022
129	121089	3953125	2.97	4074214
130	118421	3869776	2.97	3988197
131	118220	3785969	3.03	3904189
132	113754	3709036	2.98	3822790
133	114231	3634497	3.05	3748728
134	117642	3554644	3.20	3672286
135	108826	3472047	3.04	3580873
136	111205	3399786	3.17	3510991
137	110541	3325810	3.22	3436351
138	105510	3258016	3.14	3363526
139	108378	3183170	3.29	3291548
140	102366	3114945	3.18	3217311
141	100180	3044044	3.19	3144224
142	99636	2977986	3.24	3077622
143	101025	2914180	3.35	3015205
144	99516	2849269	3.37	2948785
145	97074	2788251	3.36	2885325
146	97844	2744481	3.44	2842325
147	96136	2694248	3.45	2790384
148	95208	2646353	3.47	2741561
149	95408	2596930	3.54	2692338
150	90748	2593016	3.38	2683764
151	118442	2381087	4.74	2499529

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	112318	496057	18.46	608375
2	110858	823947	11.86	934805
3	87276	896123	8.87	983399
4	77655	700704	9.98	778359
5	49985	876890	5.39	926875
6	38007	536030	6.62	574037
7	36592	504378	6.76	540970
8	42386	507007	7.72	549393
9	39385	490819	7.43	530204
10	41515	471058	8.10	512573
11	52007	467897	10.00	519904
12	67887	467277	12.69	535164
13	51623	448394	10.32	500017
14	38815	440335	8.10	479150
