Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
ptg000034l:3074217-3074646	Cluster_18596	N	1	58	20	99	0
ptg000034l:3147703-3148130	Cluster_18597	N	0	140	8	1	0
ptg000034l:3149921-3150351	Cluster_18598	N	151	0	0	540	6
ptg000034l:3161768-3162198	Cluster_18599	N	0	0	1	0	628
ptg000034l:3220241-3220663	Cluster_18600	N	0	143	2	17	1
ptg000034l:3236532-3236981	Cluster_18601	N	20	68	17	0	870
ptg000034l:3244086-3244622	Cluster_18602	N	451	2	198	4	1
ptg000034l:3311603-3312687	Cluster_18603	N	22	406	9	1204	15
ptg000034l:3355788-3356245	Cluster_18604	N	5153	5386	10764	7742	384
ptg000035l:31622-32246	Cluster_18605	N	313	30	83	88	479
ptg000035l:32828-33255	Cluster_18606	N	61	9	15	26	21
ptg000035l:33481-33899	Cluster_18607	N	32	40	35	2	5
ptg000035l:33946-34371	Cluster_18608	N	1	13	41	124	2
ptg000035l:36167-36594	Cluster_18609	N	34	34	45	45	62
ptg000035l:65436-65870	Cluster_18610	N	10	2	26	100	343
ptg000035l:83223-83795	Cluster_18611	N	2	475	20	16	228
ptg000035l:89892-90320	Cluster_18612	N	0	2	123	1	0
ptg000035l:122258-122686	Cluster_18613	N	1	2	0	10	108
ptg000035l:148347-148918	Cluster_18614	N	0	0	0	404	6
ptg000035l:151370-151797	Cluster_18615	N	21	39	86	132	102
ptg000035l:164653-165269	Cluster_18616	N	81	1567	103	1	368
ptg000035l:234321-234747	Cluster_18617	N	85	26	35	1	0
ptg000035l:295970-296400	Cluster_18618	N	7	0	33	430	5
ptg000035l:296412-296829	Cluster_18619	N	12	1	10	114	2
ptg000035l:314384-314813	Cluster_18620	N	39	9	64	45	217
ptg000035l:314929-315374	Cluster_18621	N	697	617	204	507	497
ptg000035l:340533-340981	Cluster_18622	N	4	556	16	0	1
ptg000035l:528183-528611	Cluster_18623	N	3	0	124	0	0
ptg000035l:556625-557052	Cluster_18624	N	0	6	14	0	165
ptg000035l:560115-560544	Cluster_18625	N	0	1	23	117	0
ptg000035l:563585-564702	Cluster_18626	N	1	13	1126	13510	3563
ptg000035l:565312-566175	Cluster_18627	N	0	3	26	981	3
ptg000035l:566295-567820	Cluster_18628	N	259	538	12061	1189	138
ptg000035l:824308-824735	Cluster_18629	N	0	112	1	0	2
ptg000035l:825261-826082	Cluster_18630	N	75	261	28	1241	23
ptg000035l:1129566-1130036	Cluster_18631	N	1	622	0	0	4
ptg000035l:1205349-1205917	Cluster_18632	N	153	229	276	15	0
ptg000035l:1209352-1209963	Cluster_18633	N	39	242	1110	21	10
ptg000035l:1218687-1219112	Cluster_18634	N	146	32	2	11	6
ptg000035l:1219997-1220829	Cluster_18635	N	98	381	399	255	142
ptg000035l:1225788-1226219	Cluster_18636	N	826	210	1171	868	1
ptg000035l:1228207-1228734	Cluster_18637	N	290	329	175	133	588
ptg000035l:1238834-1239269	Cluster_18638	N	1	0	3	130	369
ptg000035l:1239520-1240182	Cluster_18639	N	638	613	116	755	1143
ptg000035l:1277848-1278298	Cluster_18640	N	0	433	0	0	0
ptg000035l:1303454-1303969	Cluster_18641	N	73	545	447	68	1017
ptg000035l:1306841-1307440	Cluster_18642	N	29	385	148	199	309
ptg000035l:1372319-1372747	Cluster_18643	N	217	0	2	0	0
ptg000035l:1388049-1388473	Cluster_18644	N	1	53	65	2	0
ptg000035l:1390630-1391587	Cluster_18645	N	187	1415	2019	2	3
ptg000035l:1569162-1569589	Cluster_18646	N	1	109	0	0	0
ptg000035l:1570115-1570939	Cluster_18647	N	87	260	26	1241	21
ptg000035l:1627550-1627992	Cluster_18648	N	4	45	76	79	0
ptg000035l:1807694-1808231	Cluster_18649	N	430	1057	129	451	331
ptg000035l:1852094-1852698	Cluster_18650	N	875	2049	853	3557	681
ptg000035l:1883393-1884208	Cluster_18651	N	7	34	1281	153	13
ptg000035l:1919783-1920200	Cluster_18652	N	51	26	5	1	2
ptg000035l:1944993-1945446	Cluster_18653	N	6	0	2	561	2
ptg000035l:1956183-1956609	Cluster_18654	N	0	53	98	2	0
ptg000035l:1987458-1987967	Cluster_18655	N	436	425	682	815	165
ptg000035l:1989365-1989791	Cluster_18656	N	3	0	74	0	109
ptg000035l:1990418-1991608	Cluster_18657	N	303	297	560	1032	151
ptg000035l:2014926-2015352	Cluster_18658	N	3	3	0	5	83
ptg000035l:2137077-2137506	Cluster_18659	N	315	3	0	0	90
ptg000035l:2137749-2138180	Cluster_18660	N	89	9	2	2	116
ptg000035l:2138701-2139129	Cluster_18661	N	0	16	1	0	291
ptg000035l:2139168-2139847	Cluster_18662	N	1306	22	12	438	518
ptg000035l:2173573-2174418	Cluster_18663	N	139	192	178	245	87
ptg000035l:2174788-2175596	Cluster_18664	N	372	16	607	211	21
ptg000035l:2180460-2180888	Cluster_18665	N	317	5	0	0	215
ptg000035l:2181107-2181535	Cluster_18666	N	89	5	1	1	116
ptg000035l:2182066-2182494	Cluster_18667	N	0	11	0	0	301
ptg000035l:2182578-2183133	Cluster_18668	N	0	0	6	1520	5
ptg000035l:2216504-2216928	Cluster_18669	N	33	22	120	45	0
ptg000035l:2221256-2221996	Cluster_18670	N	78	0	78	3197	3
ptg000035l:2222200-2222721	Cluster_18671	N	5	1	2	2710	2
ptg000035l:2222911-2223341	Cluster_18672	N	90	27	58	426	0
ptg000035l:2226050-2226877	Cluster_18673	N	42	3	34	2464	0
ptg000035l:2250638-2251074	Cluster_18674	N	9	0	82	344	31
ptg000035l:2267431-2267877	Cluster_18675	N	0	136	37	2	44
ptg000035l:2269951-2270490	Cluster_18676	N	18	366	393	0	245
ptg000035l:2440785-2441214	Cluster_18677	N	73	31	31	22	115
ptg000035l:2441552-2441978	Cluster_18678	N	51	33	0	59	1
ptg000035l:2454257-2454681	Cluster_18679	N	30	0	0	4	71
ptg000035l:2454965-2455399	Cluster_18680	N	471	0	2	85	183
ptg000035l:2461755-2462183	Cluster_18681	N	1	0	238	0	0
ptg000035l:2462192-2462620	Cluster_18682	N	41	295	0	85	0
ptg000035l:2483310-2483737	Cluster_18683	N	0	43	33	108	1
ptg000035l:2530128-2530555	Cluster_18684	N	0	38	32	103	2
ptg000035l:2655211-2655640	Cluster_18685	N	1	156	1	4	1
ptg000035l:2656796-2657488	Cluster_18686	N	2	1	1591	329	66
ptg000035l:2891954-2892382	Cluster_18687	N	14	113	4	0	142
ptg000035l:2910538-2910968	Cluster_18688	N	58	673	1	9	11
ptg000035l:2918249-2918727	Cluster_18689	N	56	603	2	31	50
ptg000035l:2919518-2920269	Cluster_18690	N	1	214	24	3	38
ptg000035l:2927401-2927831	Cluster_18691	N	0	0	349	0	9
ptg000035l:3092583-3093009	Cluster_18692	N	1	0	2	6	96
ptg000035l:3285142-3285567	Cluster_18693	N	0	33	462	127	341
ptg000035l:3331333-3332356	Cluster_18694	N	170	262	242	3	0
ptg000035l:3358632-3359060	Cluster_18695	N	222	0	5	0	7
ptg000035l:3530057-3530486	Cluster_18696	N	287	384	329	179	636
ptg000035l:3668027-3668744	Cluster_18697	N	106	132	152	52	120
ptg000035l:3670719-3671145	Cluster_18698	N	40	75	49	34	54
ptg000035l:3671537-3672342	Cluster_18699	N	76	78	107	36	72
ptg000035l:3780595-3781042	Cluster_18700	N	1166	18	59	192	1
ptg000035l:3847729-3848157	Cluster_18701	N	0	0	0	112	0
ptg000035l:3897531-3897957	Cluster_18702	N	41	44	25	15	234
ptg000035l:3995273-3995770	Cluster_18703	N	3308	43344	13795	54151	6793
ptg000035l:4018055-4019596	Cluster_18704	N	387	2634	7045	16	3087
ptg000035l:4028418-4028893	Cluster_18705	N	244	365	259	170	290
ptg000035l:4227592-4228239	Cluster_18706	N	439	41	153	199	64
ptg000035l:4263899-4264322	Cluster_18707	N	23	70	0	3	52
ptg000035l:4288449-4289153	Cluster_18708	N	26	59	325	313	90
ptg000035l:4294819-4295247	Cluster_18709	N	21	2	2	11	275
ptg000035l:4296848-4297273	Cluster_18710	N	3	1	1	1	144
ptg000035l:4339550-4339641	Cluster_18711	Y	7460	14878	10091	12550	5382
ptg000035l:4342523-4342950	Cluster_18712	N	0	0	143	2	1
ptg000035l:4343453-4343878	Cluster_18713	N	1	46	154	0	1
ptg000035l:4428628-4429051	Cluster_18714	N	13	39	39	24	111
ptg000035l:4457942-4459042	Cluster_18715	N	2521	11133	3	8975	5241
ptg000035l:4536131-4536568	Cluster_18716	N	51	19	495	7	14
ptg000035l:4536869-4537297	Cluster_18717	N	105	46	188	9	8
ptg000035l:4538045-4538473	Cluster_18718	N	129	39	38	24	16
ptg000035l:4554582-4555177	Cluster_18719	N	25	1	2	564	2
ptg000035l:4625282-4625712	Cluster_18720	N	62	97	107	56	95
ptg000035l:4634203-4634635	Cluster_18721	N	1826	1030	899	700	3271
ptg000035l:4807236-4807657	Cluster_18722	N	23	70	61	41	40
ptg000035l:4808338-4808432	Cluster_18723	Y	135	337	272	280	246
ptg000035l:4813772-4814618	Cluster_18724	N	281	9	278	6	68
ptg000035l:4879764-4880253	Cluster_18725	N	15285	26409	12289	9863	21794
ptg000035l:4882090-4882538	Cluster_18726	N	3	14	68	1079	293
ptg000035l:5098994-5099423	Cluster_18727	N	1	0	131	1	0
ptg000035l:5346032-5346127	Cluster_18728	Y	107301	285246	451758	235723	280177
ptg000035l:5462971-5463388	Cluster_18729	N	0	37	32	21	0
ptg000035l:5547945-5548724	Cluster_18730	N	231	954	1150	614	233
ptg000035l:5550283-5550692	Cluster_18731	N	0	95	4	0	0
ptg000035l:5581472-5581900	Cluster_18732	N	1	149	18	0	1
ptg000035l:5858690-5859139	Cluster_18733	N	35	1	373	191	24
ptg000035l:5861138-5861569	Cluster_18734	N	3	1	0	412	1
ptg000035l:6016884-6017308	Cluster_18735	N	38	81	25	3	40
ptg000035l:6019156-6019605	Cluster_18736	N	0	106	5	244	61
ptg000035l:6194776-6195198	Cluster_18737	N	0	106	286	24	135
ptg000035l:6454228-6454656	Cluster_18738	N	187	200	234	57	160
ptg000035l:6475397-6475841	Cluster_18739	N	28	46	86	23	49
ptg000035l:6483424-6483853	Cluster_18740	N	2	24	1078	2	1
ptg000035l:6532684-6533128	Cluster_18741	N	94	775	2	3	2
ptg000035l:6540543-6541013	Cluster_18742	N	0	29	41	7	1124
ptg000035l:6541271-6541691	Cluster_18743	N	1	7	4	2	220
ptg000035l:6610170-6610586	Cluster_18744	N	0	0	75	6	24
ptg000035l:6681516-6681939	Cluster_18745	N	25	22	23	28	27
ptg000035l:6840258-6840677	Cluster_18746	N	2	1	1399	0	4
ptg000035l:7034576-7035003	Cluster_18747	N	20	53	96	26	34
ptg000035l:7036241-7036669	Cluster_18748	N	28	24	125	52	36
ptg000035l:7037958-7038379	Cluster_18749	N	129	68	253	99	74
ptg000035l:7079296-7079718	Cluster_18750	N	2	61	30	5	8
ptg000035l:7084998-7085426	Cluster_18751	N	362	16	165	26	369
ptg000035l:7094070-7094497	Cluster_18752	N	24	62	86	24	1
ptg000035l:7282336-7282756	Cluster_18753	N	25	21	26	27	16
ptg000035l:7297338-7297765	Cluster_18754	N	1	67	43	0	253
ptg000035l:7457951-7458436	Cluster_18755	N	261	171	123	202	578
ptg000035l:7476325-7476754	Cluster_18756	N	0	0	1	0	103
ptg000035l:7496490-7496918	Cluster_18757	N	0	118	220	7	33
ptg000035l:7589786-7590230	Cluster_18758	N	62	112	516	0	65
ptg000035l:7642093-7643328	Cluster_18759	N	91	374	83	436	341
ptg000035l:7709412-7709839	Cluster_18760	N	14	221	0	13	4
ptg000035l:7719840-7720278	Cluster_18761	N	788	2325	49	194	225
ptg000035l:7725924-7726692	Cluster_18762	N	70	1216	5	74	35
ptg000035l:7727189-7727616	Cluster_18763	N	2	13	0	54	46
ptg000035l:7736424-7736861	Cluster_18764	N	0	377	2	3	248
ptg000035l:7737160-7737586	Cluster_18765	N	9	91	8	67	41
ptg000035l:7740320-7741637	Cluster_18766	N	1470	483	665	1020	551
ptg000035l:7770989-7771416	Cluster_18767	N	12	15	135	239	2
ptg000035l:7866315-7866736	Cluster_18768	N	30	1	0	49	21
ptg000035l:7954847-7955272	Cluster_18769	N	59	34	7	7	1
ptg000035l:8054372-8054801	Cluster_18770	N	15	23	39	31	32
ptg000035l:8219433-8219861	Cluster_18771	N	64	72	68	23	82
ptg000035l:8367726-8367821	Cluster_18772	Y	329	476	594	221	210
ptg000035l:8383406-8383997	Cluster_18773	N	3156	0	72	1098	25
ptg000035l:8389154-8389638	Cluster_18774	N	274	227	340	198	416
ptg000035l:8407185-8407615	Cluster_18775	N	211	389	464	202	207
ptg000035l:8546712-8547141	Cluster_18776	N	9	0	277	11	0
ptg000035l:8733263-8733690	Cluster_18777	N	44	33	3	1	40
ptg000035l:8793346-8793775	Cluster_18778	N	0	1	0	2	292
ptg000035l:8994116-8994545	Cluster_18779	N	0	1	109	101	63
ptg000035l:9043561-9043990	Cluster_18780	N	1	108	1	0	1
ptg000035l:9095179-9095608	Cluster_18781	N	169	15	10	24	25
ptg000035l:9096505-9096932	Cluster_18782	N	45	0	0	1	150
ptg000035l:9185790-9186209	Cluster_18783	N	0	75	49	25	0
ptg000035l:9214958-9215433	Cluster_18784	N	79	158	197	117	92
ptg000035l:9236340-9236769	Cluster_18785	N	3	480	12	4	130
ptg000035l:9302522-9302946	Cluster_18786	N	3	112	0	52	1
ptg000035l:9303197-9303606	Cluster_18787	N	0	215	1	50	2
ptg000035l:9413634-9414107	Cluster_18788	N	98	326	1	1	15
ptg000035l:9510972-9511401	Cluster_18789	N	0	0	1	124	1
ptg000035l:9639739-9640161	Cluster_18790	N	3	50	36	1	1
ptg000035l:9698690-9699113	Cluster_18791	N	0	103	0	1	0
ptg000035l:9729358-9729797	Cluster_18792	N	38	58	73	83	302
ptg000035l:9731347-9731776	Cluster_18793	N	0	1	316	0	615
ptg000035l:9769071-9770319	Cluster_18794	N	92	118	105	597	264
ptg000035l:9793214-9793661	Cluster_18795	N	78	80	161	121	135
ptg000035l:9878110-9878531	Cluster_18796	N	44	66	63	17	100
ptg000035l:9998662-9999118	Cluster_18797	N	0	0	0	274	159
ptg000035l:10119770-10120187	Cluster_18798	N	32	8	18	22	16
ptg000035l:10218006-10218530	Cluster_18799	N	36	61	34	3	645
ptg000035l:10222217-10222643	Cluster_18800	N	29	49	2	0	8
ptg000035l:10235671-10236099	Cluster_18801	N	105	99	7	17	58
ptg000035l:10236712-10237138	Cluster_18802	N	26	63	5	19	24
ptg000035l:10238181-10238609	Cluster_18803	N	43	21	4	27	19
ptg000035l:10240206-10240635	Cluster_18804	N	2	37	8	19	183
ptg000035l:10241957-10242385	Cluster_18805	N	28	107	16	35	49
ptg000035l:10243568-10243997	Cluster_18806	N	7	141	0	6	12
ptg000035l:10244605-10245033	Cluster_18807	N	5	37	14	71	5
ptg000035l:10245174-10245603	Cluster_18808	N	2	23	9	17	152
ptg000035l:10246312-10246667	Cluster_18809	N	0	17	79	2	153
ptg000036l:312131-312576	Cluster_18810	N	767	659	156	1229	1455
ptg000036l:324369-324795	Cluster_18811	N	0	85	17	59	32
ptg000036l:326753-327168	Cluster_18812	N	53	1	0	1	67
ptg000036l:327536-327959	Cluster_18813	N	78	0	1	1	14
ptg000036l:349050-349467	Cluster_18814	N	30	10	19	24	11
ptg000036l:361487-361916	Cluster_18815	N	172	6	74	3	52
ptg000036l:362388-362812	Cluster_18816	N	34	16	101	20	0
ptg000036l:363357-363787	Cluster_18817	N	24	22	340	15	12
ptg000036l:363894-364563	Cluster_18818	N	102	216	120	76	34
ptg000036l:364842-365413	Cluster_18819	N	46	64	259	330	10
ptg000036l:365461-365902	Cluster_18820	N	113	12	320	225	27
ptg000036l:366196-366678	Cluster_18821	N	55	126	118	267	5
ptg000036l:382724-383270	Cluster_18822	N	13	23	10	188	175
ptg000036l:383293-383727	Cluster_18823	N	11	119	11	91	163
ptg000036l:436075-436520	Cluster_18824	N	1	45	2	431	1
ptg000036l:436644-437069	Cluster_18825	N	16	68	52	141	1
ptg000036l:614872-615293	Cluster_18826	N	69	5	64	37	58
ptg000036l:645100-645530	Cluster_18827	N	145	143	424	137	236
ptg000036l:650314-650744	Cluster_18828	N	139	148	428	145	238
ptg000036l:693278-693704	Cluster_18829	N	0	58	26	84	1
ptg000036l:730416-730846	Cluster_18830	N	2	1	6	367	84
ptg000036l:733977-734400	Cluster_18831	N	84	3	13	1	1
ptg000036l:736678-737099	Cluster_18832	N	19	49	26	27	21
ptg000036l:806282-806706	Cluster_18833	N	112	11	14	0	2
ptg000036l:829412-831869	Cluster_18834	N	2237	1929	1635	702	2526
ptg000036l:834817-835400	Cluster_18835	N	1365	1150	530	692	190
ptg000036l:836999-837447	Cluster_18836	N	136	305	60	1	5
ptg000036l:838207-838945	Cluster_18837	N	3251	4057	48	33	166
ptg000036l:839004-839432	Cluster_18838	N	0	87	0	18	71
ptg000036l:899731-900247	Cluster_18839	N	571	1075	26	803	21
ptg000036l:914197-914601	Cluster_18840	N	0	0	149	0	10
ptg000036l:915096-915524	Cluster_18841	N	0	0	279	0	0
ptg000036l:1048381-1048809	Cluster_18842	N	1	156	33	33	8
ptg000036l:1078979-1079468	Cluster_18843	N	149	57	127	0	22
ptg000036l:1123094-1123523	Cluster_18844	N	550	191	110	0	0
ptg000036l:1147612-1148060	Cluster_18845	N	0	1463	5872	15	0
ptg000036l:1183402-1184076	Cluster_18846	N	0	1868	161	1	54
ptg000036l:1184337-1184754	Cluster_18847	N	28	84	4	17	6
ptg000036l:1184885-1185310	Cluster_18848	N	0	139	0	1	6
ptg000036l:1195882-1196314	Cluster_18849	N	48	76	43	0	53
ptg000036l:1208097-1208520	Cluster_18850	N	6	27	0	0	89
ptg000036l:1210171-1211427	Cluster_18851	N	967	161	0	2	1408
ptg000036l:1212030-1212460	Cluster_18852	N	162	24	0	0	50
ptg000036l:1244329-1244750	Cluster_18853	N	22	26	3	7	67
ptg000036l:1275344-1275970	Cluster_18854	N	128	166	2214	101	77
ptg000036l:1320814-1321234	Cluster_18855	N	62	135	52	3	85
ptg000036l:1395954-1397347	Cluster_18856	N	1864	1903	1658	1730	1634
ptg000036l:1430040-1430468	Cluster_18857	N	33	3	3	40	182
ptg000036l:1457424-1457830	Cluster_18858	N	1	25	61	0	3
ptg000036l:1481421-1482311	Cluster_18859	N	9819	8987	49	17797	11518
ptg000036l:1485010-1485437	Cluster_18860	N	4	1	112	11	27
ptg000036l:1503443-1503876	Cluster_18861	N	5	54	51	514	3
ptg000036l:1509232-1509662	Cluster_18862	N	0	502	0	1	1
ptg000036l:1553949-1554376	Cluster_18863	N	0	6	0	68	93
ptg000036l:1567602-1568029	Cluster_18864	N	4	2	2	132	2
ptg000036l:1569172-1569624	Cluster_18865	N	341	38	44	13	7
ptg000036l:1570104-1570532	Cluster_18866	N	65	21	117	42	6
ptg000036l:1570980-1571447	Cluster_18867	N	33	6	489	5	6
ptg000036l:1573061-1573488	Cluster_18868	N	1	109	1	2	2
ptg000036l:1593039-1593868	Cluster_18869	N	2015	0	5	0	3
ptg000036l:1620684-1621113	Cluster_18870	N	543	194	117	0	0
ptg000036l:1678479-1678905	Cluster_18871	N	0	3	24	4	62
ptg000036l:1713465-1714314	Cluster_18872	N	1470	1859	857	1388	76
ptg000036l:1718651-1719338	Cluster_18873	N	111	231	158	382	900
ptg000036l:1722002-1722431	Cluster_18874	N	99	112	38	0	19
ptg000036l:1986204-1986949	Cluster_18875	N	359	625	445	18	84
ptg000036l:1987410-1987954	Cluster_18876	N	3	19	363	3	28
ptg000036l:1988282-1989402	Cluster_18877	N	502	483	1014	330	203
ptg000036l:1989582-1990012	Cluster_18878	N	164	34	38	6	3
ptg000036l:2026437-2027381	Cluster_18879	N	43	232	413	83	261
ptg000036l:2027580-2028187	Cluster_18880	N	3	11	649	14	28
ptg000036l:2029003-2029666	Cluster_18881	N	10	33	291	23	27
ptg000036l:2034715-2035712	Cluster_18882	N	5	1064	33	70	33
ptg000036l:2038840-2039274	Cluster_18883	N	7	168	25	9	46
ptg000036l:2072390-2072820	Cluster_18884	N	22	5	29	499	23
ptg000036l:2078894-2079322	Cluster_18885	N	1	0	1	332	1
ptg000036l:2124529-2124959	Cluster_18886	N	1	0	211	4	1
ptg000036l:2126720-2127147	Cluster_18887	N	29	0	64	0	0
ptg000036l:2152375-2153771	Cluster_18888	N	1022	9	7504	2	4
ptg000036l:2169413-2169832	Cluster_18889	N	19	17	28	15	14
ptg000036l:2187432-2187868	Cluster_18890	N	34	1	65	91	5
ptg000036l:2198242-2198670	Cluster_18891	N	105	108	505	1	0
ptg000036l:2198863-2199292	Cluster_18892	N	239	12	5	0	0
ptg000036l:2199781-2200225	Cluster_18893	N	226	1	1172	2	1
ptg000036l:2213128-2213556	Cluster_18894	N	132	61	172	0	145
ptg000036l:2216995-2217884	Cluster_18895	N	32	32	337	1	43
ptg000036l:2222385-2222812	Cluster_18896	N	79	63	36	13	0
ptg000036l:2268394-2268824	Cluster_18897	N	1	1	0	0	124
ptg000036l:2272470-2272897	Cluster_18898	N	0	0	0	107	0
ptg000036l:2277950-2278379	Cluster_18899	N	6	53	115	9	0
ptg000036l:2302789-2303218	Cluster_18900	N	2	5	201	0	0
ptg000036l:2330632-2331079	Cluster_18901	N	0	4	0	71	195
ptg000036l:2332818-2333247	Cluster_18902	N	7	0	9	18	324
ptg000036l:2348344-2348771	Cluster_18903	N	48	140	61	1	5
ptg000036l:2385052-2385479	Cluster_18904	N	3	86	36	36	0
ptg000036l:2413307-2413735	Cluster_18905	N	35	11	24	315	286
ptg000036l:2413941-2415379	Cluster_18906	N	504	23	4957	1142	2091
ptg000036l:2415725-2416575	Cluster_18907	N	272	56	9	305	267
ptg000036l:2419045-2419465	Cluster_18908	N	20	4	1	22	127
ptg000036l:2450686-2451107	Cluster_18909	N	85	54	41	61	48
ptg000036l:2456755-2457789	Cluster_18910	N	130	193	111	1081	0
ptg000036l:2617672-2618101	Cluster_18911	N	111	19	65	0	6
ptg000036l:2648029-2648497	Cluster_18912	N	8	203	238	81	99
ptg000036l:2726225-2726653	Cluster_18913	N	75	2	105	3	3
ptg000036l:2726962-2727410	Cluster_18914	N	421	4	48	0	1
ptg000036l:2729932-2730503	Cluster_18915	N	3590	4926	2897	6302	1570
ptg000036l:2843831-2844277	Cluster_18916	N	0	18	448	8	1071
ptg000036l:2844536-2845443	Cluster_18917	N	0	230	707	5	1881
ptg000036l:2846151-2846579	Cluster_18918	N	0	53	7	36	138
ptg000036l:2846684-2847111	Cluster_18919	N	0	95	13	26	262
ptg000036l:2857863-2858292	Cluster_18920	N	8	1172	13	2	0
ptg000036l:2943062-2943489	Cluster_18921	N	5	10	226	2	1
ptg000036l:2945018-2945445	Cluster_18922	N	41	82	2	83	54
ptg000036l:2967770-2968195	Cluster_18923	N	91	1	359	198	160
ptg000036l:2977497-2977997	Cluster_18924	N	9	168	94	34	204
ptg000036l:2978462-2978890	Cluster_18925	N	1	10	149	2	9
ptg000036l:2982952-2983360	Cluster_18926	N	0	52	111	11	9
ptg000036l:2992698-2993341	Cluster_18927	N	102	1118	11	433	465
ptg000036l:2995746-2996326	Cluster_18928	N	78	343	80	184	180
ptg000036l:3034721-3035148	Cluster_18929	N	68	38	45	196	35
ptg000036l:3059806-3060523	Cluster_18930	N	100	119	416	1057	96
ptg000036l:3067419-3067862	Cluster_18931	N	0	940	0	36	550
ptg000036l:3087524-3087953	Cluster_18932	N	0	432	0	3	7
ptg000036l:3088034-3088456	Cluster_18933	N	2	30	37	24	0
ptg000036l:3090842-3091359	Cluster_18934	N	1	0	0	621	2
ptg000036l:3094589-3095404	Cluster_18935	N	14	14	33	1265	1114
ptg000036l:3111342-3111777	Cluster_18936	N	1	587	5	15	11
ptg000036l:3112331-3112879	Cluster_18937	N	0	190	2	506	28
ptg000036l:3113481-3114093	Cluster_18938	N	3	457	2	608	945
ptg000036l:3114773-3116426	Cluster_18939	N	962	1031	65	727	556
ptg000036l:3134324-3134891	Cluster_18940	N	1	369	0	0	1
ptg000036l:3135408-3135829	Cluster_18941	N	43	50	0	74	1
ptg000036l:3160251-3160679	Cluster_18942	N	36	6	68	4	7
ptg000036l:3160913-3161645	Cluster_18943	N	1	454	0	166	160
ptg000036l:3162043-3162488	Cluster_18944	N	0	34	0	163	98
ptg000036l:3199538-3199966	Cluster_18945	N	0	160	1	1	0
ptg000036l:3231076-3231506	Cluster_18946	N	9	30	134	0	94
ptg000036l:3316385-3316812	Cluster_18947	N	115	47	95	8	0
ptg000036l:3316821-3317669	Cluster_18948	N	179	394	468	782	215
ptg000036l:3317683-3318111	Cluster_18949	N	51	141	38	8	37
ptg000036l:3318665-3319469	Cluster_18950	N	106	104	137	91	17
ptg000036l:3332517-3332945	Cluster_18951	N	83	51	3	410	1
ptg000036l:3364881-3365473	Cluster_18952	N	79	0	12	13	165
ptg000036l:3393877-3394304	Cluster_18953	N	50	75	12	102	72
ptg000036l:3396104-3396534	Cluster_18954	N	2	32	195	75	29
ptg000036l:3406614-3407141	Cluster_18955	N	135	81	165	81	82
ptg000036l:3435104-3435532	Cluster_18956	N	121	1	2	189	50
ptg000036l:3452360-3452788	Cluster_18957	N	1	351	6	22	3
ptg000036l:3474941-3475434	Cluster_18958	N	4	260	5	0	6
ptg000036l:3507582-3508009	Cluster_18959	N	88	4	52	5	0
ptg000036l:3544463-3544911	Cluster_18960	N	28	79	55	1	136
ptg000036l:3669948-3670523	Cluster_18961	N	6	165	142	28	56
ptg000036l:3711196-3712244	Cluster_18962	N	29	935	530	279	308
ptg000036l:3717056-3717480	Cluster_18963	N	4	141	14	29	32
ptg000036l:3726772-3727402	Cluster_18964	N	335	219	919	33	1079
ptg000036l:3727929-3728378	Cluster_18965	N	151	104	404	18	89
ptg000036l:3728404-3729732	Cluster_18966	N	939	2480	1	1420	823
ptg000036l:3730350-3731003	Cluster_18967	N	137	394	8	210	314
ptg000036l:3731561-3732293	Cluster_18968	N	886	954	1	775	890
ptg000036l:3779574-3780738	Cluster_18969	N	2043	16	311	7	237
ptg000036l:3849989-3850418	Cluster_18970	N	298	0	62	1	1
ptg000036l:3859930-3861738	Cluster_18971	N	442	398	605	655	506
ptg000036l:3862731-3863154	Cluster_18972	N	23	37	54	58	44
ptg000036l:3864026-3864440	Cluster_18973	N	16	25	1	133	17
ptg000036l:3864562-3864990	Cluster_18974	N	28	42	97	1	58
ptg000036l:3881873-3882302	Cluster_18975	N	579	5	11	4	8
ptg000036l:3883826-3884248	Cluster_18976	N	70	39	77	8	14
ptg000036l:3886097-3886526	Cluster_18977	N	427	1	13	0	38
ptg000036l:3886842-3887251	Cluster_18978	N	0	20	62	6	6
ptg000036l:3892956-3893385	Cluster_18979	N	423	1	12	0	40
ptg000036l:3893703-3894111	Cluster_18980	N	0	18	64	5	5
ptg000036l:3908765-3909761	Cluster_18981	N	138	373	477	156	224
ptg000036l:3939357-3939894	Cluster_18982	N	26	59	11	127	104
ptg000036l:3962077-3962731	Cluster_18983	N	53	159	160	31	43
ptg000036l:3965975-3966404	Cluster_18984	N	1	377	2	1	0
ptg000036l:4029153-4029582	Cluster_18985	N	52	16	1108	102	1257
ptg000036l:4031415-4031862	Cluster_18986	N	0	0	374	0	1
ptg000036l:4061821-4062253	Cluster_18987	N	437	0	3	1	1
ptg000036l:4064743-4065170	Cluster_18988	N	220	1	0	42	2
