Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
ntLink_8:7037299-7037722	Cluster_241	N	33	43	39	12	65
ntLink_8:7039244-7039671	Cluster_242	N	1	23	0	4	136
ntLink_8:7064725-7065420	Cluster_243	N	458	563	439	444	8
ntLink_8:7090826-7091251	Cluster_244	N	63	0	0	1	41
ntLink_8:7115706-7116135	Cluster_245	N	0	165	0	0	0
ntLink_8:7259636-7260054	Cluster_246	N	83	24	97	11	1
ntLink_8:7274320-7274747	Cluster_247	N	26	112	98	139	83
ntLink_8:7316414-7316838	Cluster_248	N	17	175	8	8	23
ntLink_8:7405237-7405666	Cluster_249	N	31	8	15	409	96
ntLink_8:7407013-7407441	Cluster_250	N	77	44	8	25	114
ntLink_8:7407597-7408188	Cluster_251	N	680	167	39	346	838
ntLink_8:7582023-7582452	Cluster_252	N	218	412	91	176	56
ntLink_8:7608479-7608937	Cluster_253	N	1	374	0	46	52
ntLink_8:7609319-7609917	Cluster_254	N	0	77	0	136	1262
ntLink_8:7658801-7659396	Cluster_255	N	5	587	1555	15	445
ntLink_8:7986292-7986725	Cluster_256	N	224	112	92	333	52
ntLink_8:8048424-8048833	Cluster_257	N	7	2	0	2	90
ntLink_8:8049458-8049885	Cluster_258	N	17	2	0	166	5
ntLink_8:8080087-8080515	Cluster_259	N	0	2	1	155	0
ntLink_8:8082584-8083124	Cluster_260	N	0	0	330	0	0
ntLink_8:8220968-8221397	Cluster_261	N	48	8	67	43	220
ntLink_8:8235291-8235720	Cluster_262	N	42	13	60	41	221
ntLink_8:8301686-8302123	Cluster_263	N	654	130	0	0	0
ntLink_8:8302439-8302861	Cluster_264	N	120	62	5	2	0
ntLink_8:8353550-8354105	Cluster_265	N	75	143	5	77	415
ntLink_8:8403681-8404116	Cluster_266	N	158	149	7	28	44
ntLink_8:8406551-8406979	Cluster_267	N	258	19	43	0	3
ntLink_8:8408329-8408756	Cluster_268	N	94	29	25	0	28
ntLink_8:8424962-8425391	Cluster_269	N	47	244	37	4	2
ntLink_8:8425909-8426343	Cluster_270	N	25	894	95	10	11
ntLink_8:8429258-8429685	Cluster_271	N	15	0	51	15	162
ntLink_8:8449964-8450417	Cluster_272	N	972	40	7	10	80
ntLink_8:8482998-8483434	Cluster_273	N	313	1492	339	523	363
ntLink_8:8530476-8530891	Cluster_274	N	1	0	88	1	0
ntLink_8:8598234-8598955	Cluster_275	N	11	1202	39	487	105
ntLink_8:8600087-8601318	Cluster_276	N	1090	897	1135	612	1578
ntLink_8:8642597-8643043	Cluster_277	N	72	206	17	26	10
ntLink_8:8672450-8672877	Cluster_278	N	20	4	123	0	3
ntLink_8:8711596-8712002	Cluster_279	N	37	2	33	69	17
ntLink_8:8712078-8714343	Cluster_280	N	3135	3645	1151	87	59
ntLink_8:8722354-8723147	Cluster_281	N	306	11	31	4	61
ntLink_8:8733872-8734326	Cluster_282	N	8	81	1146	3070	231
ntLink_8:8748373-8748788	Cluster_283	N	19	50	73	25	1
ntLink_8:8755114-8755612	Cluster_284	N	8	76	513	59	2
ntLink_8:8793998-8794496	Cluster_285	N	18	86	555	77	0
ntLink_8:8805157-8805561	Cluster_286	N	20	32	71	20	0
ntLink_8:8805609-8806037	Cluster_287	N	11	55	144	55	3
ntLink_8:8808712-8809269	Cluster_288	N	41	92	143	66	0
ntLink_8:8817187-8817633	Cluster_289	N	75	195	17	28	8
ntLink_8:8818293-8818723	Cluster_290	N	15	348	9	60	14
ntLink_8:8819499-8819968	Cluster_291	N	0	456	104	2	94
ntLink_8:8844436-8844932	Cluster_292	N	35	24	21	23	243
ntLink_8:8847846-8848470	Cluster_293	N	302	38	72	106	484
ntLink_8:8849049-8849476	Cluster_294	N	55	12	14	25	23
ntLink_8:8849571-8850109	Cluster_295	N	604	223	155	6	4
ntLink_8:8850167-8850585	Cluster_296	N	6	9	45	119	3
ntLink_8:8850951-8851378	Cluster_297	N	58	99	62	27	107
ntLink_8:8851481-8851912	Cluster_298	N	35	41	29	16	185
ntLink_8:8852386-8852813	Cluster_299	N	37	40	49	54	73
ntLink_8:8861350-8861778	Cluster_300	N	71	16	53	64	2
ntLink_8:8864400-8865087	Cluster_301	N	3225	1330	810	425	480
ntLink_8:8900316-8901842	Cluster_302	N	19	1148	33	55	3
