,id,type
516,FUN_031078,gene
517,FUN_031510,gene
518,FUN_032240,gene
519,FUN_032607,gene
520,FUN_033039,gene
521,FUN_035382,gene
522,FUN_035430,gene
523,FUN_036746,gene
524,FUN_042118,gene
525,FUN_044177,gene
526,FUN_044180,gene
527,FUN_044182,gene
528,FUN_044256,gene
529,FUN_044253,gene
530,FUN_004078,gene
531,FUN_008520,gene
532,FUN_008019,gene
533,FUN_008288,gene
534,FUN_010691,gene
535,FUN_013505,gene
536,FUN_018764,gene
537,FUN_018349,gene
538,FUN_022145,gene
539,FUN_022341,gene
540,FUN_023565,gene
541,FUN_027244,gene
542,FUN_037790,gene
543,FUN_038834,gene
544,FUN_042269,gene
545,FUN_001500,gene
546,FUN_006286,gene
547,FUN_007153,gene
548,FUN_005858,gene
549,FUN_005921,gene
550,FUN_007607,gene
551,FUN_008289,gene
552,FUN_009676,gene
553,FUN_009778,gene
554,FUN_010074,gene
555,FUN_009049,gene
556,FUN_009157,gene
557,FUN_009350,gene
558,FUN_010736,gene
559,FUN_012767,gene
560,FUN_012968,gene
561,FUN_011851,gene
562,FUN_012135,gene
563,FUN_015282,gene
564,FUN_016366,gene
565,FUN_016180,gene
566,FUN_017936,gene
567,FUN_019559,gene
568,FUN_020835,gene
569,FUN_022227,gene
570,FUN_022232,gene
571,FUN_022454,gene
572,FUN_025144,gene
573,FUN_026471,gene
574,FUN_029040,gene
575,FUN_028524,gene
576,FUN_031199,gene
577,FUN_031590,gene
578,FUN_031622,gene
579,FUN_029285,gene
580,FUN_030068,gene
581,FUN_034419,gene
582,FUN_036228,gene
583,FUN_035174,gene
584,FUN_037782,gene
585,FUN_037287,gene
586,FUN_038167,gene
587,FUN_038564,gene
588,FUN_038659,gene
589,FUN_039882,gene
590,FUN_039817,gene
591,FUN_041545,gene
592,FUN_041813,gene
593,FUN_043151,gene
594,FUN_003588,gene
595,FUN_006853,gene
596,FUN_005720,gene
597,FUN_005813,gene
598,FUN_013106,gene
599,FUN_013474,gene
600,FUN_012027,gene
601,FUN_012311,gene
602,FUN_014965,gene
603,FUN_016752,gene
604,FUN_025138,gene
605,FUN_028253,gene
606,FUN_028645,gene
607,FUN_031305,gene
608,FUN_032001,gene
609,FUN_033202,gene
610,FUN_033292,gene
611,FUN_029346,gene
612,FUN_034076,gene
613,FUN_035024,gene
614,FUN_035176,gene
615,FUN_038708,gene
616,FUN_038179,gene
617,FUN_038254,gene
618,FUN_042308,gene
619,FUN_044292,gene
620,FUN_004759,gene
621,FUN_004767,gene
622,FUN_002515,gene
623,FUN_002810,gene
624,FUN_006467,gene
625,FUN_012778,gene
626,FUN_023768,gene
627,FUN_028064,gene
628,FUN_028988,gene
629,FUN_032276,gene
630,FUN_035606,gene
631,FUN_038833,gene
632,FUN_038455,gene
633,FUN_039990,gene
634,FUN_043651,gene
635,FUN_000277,gene
636,FUN_001418,gene
637,FUN_001882,gene
638,FUN_000643,gene
639,FUN_000988,gene
640,FUN_001185,gene
641,FUN_004208,gene
642,FUN_002340,gene
643,FUN_005111,gene
644,FUN_005177,gene
645,FUN_005182,gene
646,FUN_006857,gene
647,FUN_006885,gene
648,FUN_005908,gene
649,FUN_008544,gene
650,FUN_007688,gene
651,FUN_010781,gene
652,FUN_010883,gene
653,FUN_012596,gene
654,FUN_012666,gene
655,FUN_012686,gene
656,FUN_013094,gene
657,FUN_013146,gene
658,FUN_012144,gene
659,FUN_011725,gene
660,FUN_012307,gene
661,FUN_011741,gene
662,FUN_011680,gene
663,FUN_015467,gene
664,FUN_014639,gene
665,FUN_015036,gene
666,FUN_016428,gene
