transcript_id,RNA-ACR-140,RNA-ACR-145,RNA-ACR-150,RNA-ACR-173,RNA-ACR-178
FUN_019645-T1,0,0,0,0,1
FUN_020342-T1,0,0,0,0,1
FUN_030298-T1,3,0,6,1,24
FUN_043546-T1,238,153,56,78,188
FUN_001040-T1,3555,2663,455,1827,1167
FUN_036052-T1,125,59,12,58,19
FUN_042552-T1,0,0,0,0,0
FUN_038535-T1,417,242,252,199,234
FUN_027664-T1,0,0,0,0,0
FUN_000057-T1,6,0,18,2,26
FUN_012714-T1,16,0,0,0,0
FUN_009117-T1,105,123,43,55,34
FUN_012457-T1,21,2909,37,4644,4627
FUN_005367-T1,564,285,282,519,149
FUN_020091-T1,0,0,0,0,0
FUN_013758-T1,0,0,0,0,0
FUN_038110-T1,4,916,600,0,95
FUN_006186-T1,60,43,56,209,108
FUN_012063-T1,53,48,6,0,17
FUN_007441-T1,0,0,0,0,0
FUN_026298-T1,1599,1299,1164,1595,961
FUN_001212-T1,10258,10700,10773,9039,7581
FUN_040247-T1,21,33,33,19,5
FUN_032257-T1,0,0,33,0,18
FUN_008665-T1,1913,1261,784,1551,1137
FUN_003379-T1,10,47,57,73,85
FUN_011082-T1,0,0,0,0,33
FUN_020726-T1,1,0,0,0,0
FUN_035501-T1,0,0,0,0,0
FUN_026697-T1,0,0,0,0,0
FUN_017875-T1,4,25,2,8,2
FUN_010675-T1,2507,1488,885,1693,1646
FUN_032312-T1,1029,492,180,500,425
FUN_040233-T1,156,149,155,137,120
FUN_008583-T1,4476,2382,2329,4528,4638
FUN_008736-T1,0,6,0,6,0
FUN_043737-T1,0,0,0,0,0
FUN_020376-T1,0,0,0,0,0
FUN_016508-T1,720,569,263,324,181
FUN_001475-T1,0,2,0,1,0
FUN_010309-T1,0,0,0,0,0
FUN_037894-T1,4,0,0,0,0
FUN_035927-T1,7,0,24,1,119
FUN_015368-T1,0,1,0,32,0
FUN_017995-T1,221,305,139,285,138
FUN_035735-T1,2133,1481,1197,1771,1246
FUN_022684-T1,245,95,195,286,251
FUN_029786-T1,0,0,0,0,0
FUN_022460-T1,0,0,0,0,0
FUN_010052-T1,29,16,0,0,38
FUN_001519-T1,5600,2135,1560,2610,3314
FUN_006004-T1,619,542,418,675,585
FUN_029617-T1,50,50,15,16,49
FUN_014552-T1,725,606,705,614,1197
FUN_038484-T1,2973,2532,1007,1995,904
FUN_017252-T1,0,0,0,0,0
FUN_033642-T1,0,10,0,0,0
FUN_006362-T1,80,0,0,0,14
FUN_017663-T1,0,0,0,0,0
FUN_009024-T1,105,173,91,260,317
FUN_031363-T1,0,0,0,0,0
