given_miRNA_name,mRNA,total_binding_sites,sites_3UTR,sites_5UTR,sites_CDS,PCC.cor,Protein.names
peve-mir-novel-39,Peve_00035821,2,0,0,2,0.999361810020579,Protein furry
peve-mir-novel-39,Peve_00037061,2,0,1,1,-0.999649545771953,Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)
peve-mir-novel-39,Peve_00039096,2,0,0,2,0.997430536559693,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein)
peve-mir-novel-39,Peve_00041609,2,0,0,2,0.99948661934441,NA
peve-mir-novel-39,Peve_00044098,2,0,0,2,0.998576798713468,NA
peve-mir-novel-40,Peve_00004802,2,0,0,2,-0.999895927074034,NA
peve-mir-novel-40,Peve_00007756,3,0,0,3,0.999962448044095,NA
peve-mir-novel-40,Peve_00016793,2,0,0,2,0.998844137775377,NA
peve-mir-novel-40,Peve_00017150,2,0,0,2,-0.999275446346948,Dimethylglycine dehydrogenase, mitochondrial (EC 1.5.8.4) (ME2GLYDH)
peve-mir-novel-40,Peve_00024330,9,0,0,9,0.998712895978614,HEAT repeat-containing protein 1 (Protein BAP28)
peve-mir-novel-40,Peve_00032395,2,0,0,2,-0.998857649878391,Polycystic kidney disease protein 1-like 2 (PC1-like 2 protein) (Polycystin-1L2)
peve-mir-novel-40,Peve_00034569,2,1,0,1,0.999603958340296,NA
peve-mir-novel-40,Peve_00041682,2,0,0,2,-0.998485426650187,Putative ankyrin repeat protein RF_0381
peve-mir-novel-6,Peve_00000242,2,0,0,2,-0.996940885947183,IST1 homolog (hIST1) (Charged multivesicular body protein 8) (CHMP8) (Putative MAPK-activating protein PM28)
peve-mir-novel-6,Peve_00001286,2,0,0,2,-0.999831516694319,26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1)
peve-mir-novel-6,Peve_00001600,3,0,0,3,-0.999968762882795,CSC1-like protein 1 (Transmembrane protein 63A)
peve-mir-novel-6,Peve_00003586,2,0,0,2,-0.998590344098593,Probable ATP-dependent RNA helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60)
peve-mir-novel-6,Peve_00006896,2,0,0,2,-0.999754770568984,Tetraspanin-31-B (Tspan-31-B) (Sarcoma-amplified sequence homolog B)
peve-mir-novel-6,Peve_00009585,2,0,0,2,-0.999810478284584,Nephrocystin-3
peve-mir-novel-6,Peve_00013326,2,0,0,2,-0.997240786263881,tRNA(Glu)-specific nuclease WapA (EC 3.1.-.-) (Cell wall-associated protein) (RNase WapA) (Toxin WapA)
peve-mir-novel-6,Peve_00018009,2,0,0,2,-0.998541509666997,Dedicator of cytokinesis protein 7 (Protein moonlight)
peve-mir-novel-6,Peve_00034689,2,0,0,2,-0.999903510444138,D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3)
peve-mir-novel-6,Peve_00040799,2,0,0,2,-0.99996501950937,Multiple PDZ domain protein (Multi-PDZ domain protein 1)
peve-mir-novel-7,Peve_00015748,2,1,1,0,-0.999044377811527,Nephrocystin-3
peve-mir-novel-7,Peve_00022405,2,0,0,2,-0.999648379930316,Pleckstrin homology domain-containing family M member 2 (PH domain-containing family M member 2)
peve-mir-novel-9,Peve_00006584,4,0,0,4,-0.999747628800907,E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-alpha) (EC 2.3.2.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha)
